anchor,positive,negative
MITRA DIOCESANA DE BARRETOS - PAROQUIA NOSSA SENHORA APARECIDA,APARESIDA NS SRA,RESIDENCIAL PHOENIX - PHOENIX
MITRA DIOCESANA DE BARRETOS - PAROQUIA NOSSA SENHORA APARECIDA,APARESIDA NS SRA,GRAZZIOTIN S A - TOTTAL
MITRA DIOCESANA DE BARRETOS - PAROQUIA NOSSA SENHORA APARECIDA,APARESIDA NS SRA,BESIX - BESIX
DIOCESE DE FRANCA - PAROQUIA SAO SEBASTIAO,PAROKIA,INSTITUTO NASCE - CASA AMPARO
DIOCESE DE FRANCA - PAROQUIA SAO SEBASTIAO,PAROKIA,GRAZZIOTIN S A - POR MENOS
DIOCESE DE FRANCA - PAROQUIA SAO SEBASTIAO,PAROKIA,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - PENHA-SP III,PENHA,MILI S/A - MILI
BANCO SANTANDER (BRASIL) S.A. - PENHA-SP III,PENHA,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - PENHA-SP III,PENHA,TIM CAR LIMITADA - TIM CAR
IGREJA QUE ESTA NO BRASIL - IGREJA NO BRASIL,IGREJA KE ESTA,GRAZZIOTIN S A - POR MENOS
IGREJA QUE ESTA NO BRASIL - IGREJA NO BRASIL,IGREJA KE ESTA,AMIR ASSOCIACAO MOVIMENTAR - MIRE CHURCH
IGREJA QUE ESTA NO BRASIL - IGREJA NO BRASIL,IGREJA KE ESTA,UNETRAL SA - POSTO UNIAO
RESIDENCIAL PORTO SANTIAGO - CONDOMINIO RESIDENCIAL PORTO SANTIAGO,CONDOMINIO PORTO,CONDOMINIO DO EDIFICIO GENOVA - EDIFICIO GENOVA
RESIDENCIAL PORTO SANTIAGO - CONDOMINIO RESIDENCIAL PORTO SANTIAGO,CONDOMINIO PORTO,CONDOMINIO SANTA MARIA - CONDOMINIO SANTA MARIA
RESIDENCIAL PORTO SANTIAGO - CONDOMINIO RESIDENCIAL PORTO SANTIAGO,CONDOMINIO PORTO,CONDOMINIO EDIFICIO LARISSA - EDIFICIO LARISSA
SOL GELADOS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA - SOL GELADOS,SOL COMERCIO,INSTITUTO NASCE - CASA AMPARO
SOL GELADOS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA - SOL GELADOS,SOL COMERCIO,CRBS S/A - CDC CACERES
SOL GELADOS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA - SOL GELADOS,SOL COMERCIO,INSTITUTO AGENTE MUDA - I AM
AMIR ASSOCIACAO MOVIMENTAR - MIRE CHURCH,MIRE XURCH AMIR ASOSIACAO,M J RAMOS BEZERRA LINS - NUTRISERVICE
AMIR ASSOCIACAO MOVIMENTAR - MIRE CHURCH,MIRE XURCH AMIR ASOSIACAO,ASSOCIACAO COMUNITARIA UNIFICADA FAZENDO O AMANHA DE EMBU GUACU   ACUFAEG - ACUFAEG
AMIR ASSOCIACAO MOVIMENTAR - MIRE CHURCH,MIRE XURCH AMIR ASOSIACAO,SUED JOSE DE AMORIM - LANCHONETE AMORIM
GB2 CAFE LTDA - STERNA CAFE JD. PAULISTANO,STERNA CAFE PAULISTA,BATISTA & IZEPE LTDA - BOM DIA PARAISO
GB2 CAFE LTDA - STERNA CAFE JD. PAULISTANO,STERNA CAFE PAULISTA,UNETRAL SA - POSTO UNIAO
GB2 CAFE LTDA - STERNA CAFE JD. PAULISTANO,STERNA CAFE PAULISTA,NACIONAL CAPITAO POCO COMERCIO DE CALCADOS LTDA - NACIONAL
BANCO SANTANDER (BRASIL) S.A. - PA SALVADOR-BARRA AVENIDA I,SALVADOR BARRA,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - PA SALVADOR-BARRA AVENIDA I,SALVADOR BARRA,CRBS S/A - CDC CACERES
BANCO SANTANDER (BRASIL) S.A. - PA SALVADOR-BARRA AVENIDA I,SALVADOR BARRA,G. J. LAZAROTO - AGRICOLA LAZAROTTO
CENTRO ESPIRITA SEARA DE JESUS - CENTRO ESPIRITA SEARA DE JESUS DE OSASCO,SEARA JESUS,BESIX - BESIX
CENTRO ESPIRITA SEARA DE JESUS - CENTRO ESPIRITA SEARA DE JESUS DE OSASCO,SEARA JESUS,MIX JESUS LTDA - MIX JESUS
CENTRO ESPIRITA SEARA DE JESUS - CENTRO ESPIRITA SEARA DE JESUS DE OSASCO,SEARA JESUS,SANDRA R.RAMOS - JOIE DU VIVRE
CAMPOFERT COMERCIO INDUSTRIA EXPORTACAO E IMPORTACAO LTDA EM RECUPERACAO JUDICIAL - CAMPOFERT GUAIRA COM. IND. EXP.IMP. LTDA,CANPOFERT GUAIRA COMERSIO,GRAZZIOTIN S A - TOTTAL CASA & CONFORTO
CAMPOFERT COMERCIO INDUSTRIA EXPORTACAO E IMPORTACAO LTDA EM RECUPERACAO JUDICIAL - CAMPOFERT GUAIRA COM. IND. EXP.IMP. LTDA,CANPOFERT GUAIRA COMERSIO,DAVI E DE SOUZA LANCHONETE - REI BURGUER
CAMPOFERT COMERCIO INDUSTRIA EXPORTACAO E IMPORTACAO LTDA EM RECUPERACAO JUDICIAL - CAMPOFERT GUAIRA COM. IND. EXP.IMP. LTDA,CANPOFERT GUAIRA COMERSIO,LAR VICENTINO DE UBATUBA - CAVALO MARINHO
BANCO SANTANDER (BRASIL) S.A. - PA SELECT JK-SP II,SELECT II,TIM CAR LIMITADA - TIM CAR
BANCO SANTANDER (BRASIL) S.A. - PA SELECT JK-SP II,SELECT II,BLANC RESIDENCE - BLANC RESIDENCE
BANCO SANTANDER (BRASIL) S.A. - PA SELECT JK-SP II,SELECT II,INSTITUTO NASCE - CASA AMPARO
SAPORE S.A. - CR-3842,CR 3842,INSTITUTO NASCE - CASA AMPARO
SAPORE S.A. - CR-3842,CR 3842,IB ALIMENTOS LTDA - CPD IMPERADOR
SAPORE S.A. - CR-3842,CR 3842,MILI S/A - MILI
RESIDENCIAL PORTINARI IV - RESIDENCIAL PORTINARI IV,PORTINARI RESIDENSIAL,CONDOMINIO RESIDENCIAL CANDIDO PORTINARI - RESIDENCIAL CANDIDO PORTINARI
RESIDENCIAL PORTINARI IV - RESIDENCIAL PORTINARI IV,PORTINARI RESIDENSIAL,GRAZZIOTIN S A - TOTTAL CASA E CONFORTO
RESIDENCIAL PORTINARI IV - RESIDENCIAL PORTINARI IV,PORTINARI RESIDENSIAL,GRAZZIOTIN S A - TOTTAL CASA & LAZER
BANCO SANTANDER (BRASIL) S.A. - VL GALVAO-GUARULHOS-SP,BL GUARUIOS,G. J. LAZAROTO - AGRICOLA LAZAROTTO
BANCO SANTANDER (BRASIL) S.A. - VL GALVAO-GUARULHOS-SP,BL GUARUIOS,GRAZZIOTIN S A - POR MENOS
BANCO SANTANDER (BRASIL) S.A. - VL GALVAO-GUARULHOS-SP,BL GUARUIOS,UNETRAL SA - POSTO UNIAO
BRASIL SUSTENTAVEL AGROPECUARIA S.A. - BRS AGRO NE,BRASIL AGRO,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
BRASIL SUSTENTAVEL AGROPECUARIA S.A. - BRS AGRO NE,BRASIL AGRO,RESIDENCIAL PHOENIX - PHOENIX
BRASIL SUSTENTAVEL AGROPECUARIA S.A. - BRS AGRO NE,BRASIL AGRO,G. J. LAZAROTO - AGRICOLA LAZAROTTO
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - COLUMBUS",COLUMBUS PARTICIPAÇÕES,CONQUISTA PARTICIPACOES LTDA - CONQUISTA PARTICIPACOES
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - COLUMBUS",COLUMBUS PARTICIPAÇÕES,ELLO PARTICIPACOES LTDA - ELLO PARTICIPACOES
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - COLUMBUS",COLUMBUS PARTICIPAÇÕES,ENTREE LTDA - ENTREE PARTICIPACOES
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ED COM TEODORO BUSINESS",ED BUSINES,GRAZZIOTIN S A - POR MENOS
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ED COM TEODORO BUSINESS",ED BUSINES,BESIX - BESIX
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ED COM TEODORO BUSINESS",ED BUSINES,TIM CAR LIMITADA - TIM CAR
SECRETARIA DE ESTADO DA SAUDE - HOSPITAL REGIONAL DE SOROCABA,HOSPITAL REJIONAL DE SAUDE,SECRETARIA DE ESTADO DA SAUDE - AMBULATORIO MEDICO DE ESPECIALIDADES LIMEIRA
SECRETARIA DE ESTADO DA SAUDE - HOSPITAL REGIONAL DE SOROCABA,HOSPITAL REJIONAL DE SAUDE,SECRETARIA DE ESTADO DA SAUDE - AMBULATORIO MEDICO DE ESPECIALIDADES JUNDIAI
SECRETARIA DE ESTADO DA SAUDE - HOSPITAL REGIONAL DE SOROCABA,HOSPITAL REJIONAL DE SAUDE,SECRETARIA DE ESTADO DA SAUDE - AMBULATORIO MEDICO DE ESPECIALIDADES S J DOS CAMPOS
MITRA DIOCESANA DE CAMPO MOURAO - PAROQUIA DE SANTO ANTONIO,ANTONIO PAROKIA,MARCOS ANTONIO VESCOVI - MARCOS RELOJOEIRO
MITRA DIOCESANA DE CAMPO MOURAO - PAROQUIA DE SANTO ANTONIO,ANTONIO PAROKIA,GRAZZIOTIN S A - POR MENOS
MITRA DIOCESANA DE CAMPO MOURAO - PAROQUIA DE SANTO ANTONIO,ANTONIO PAROKIA,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
SAPORE S.A. - CR 4835,SAPORE CR 4835,SAPORE S.A. - CR 4825
SAPORE S.A. - CR 4835,SAPORE CR 4835,SAPORE S.A. - SAPORE CR 4178
SAPORE S.A. - CR 4835,SAPORE CR 4835,SAPORE S.A. - CR 4511
GENIUS SOFTWARE LTDA - GENIUS SOFTWARE LTDA EPP,GENIUS,BESIX - BESIX
GENIUS SOFTWARE LTDA - GENIUS SOFTWARE LTDA EPP,GENIUS,MILI S/A - MILI
GENIUS SOFTWARE LTDA - GENIUS SOFTWARE LTDA EPP,GENIUS,TIM CAR LIMITADA - TIM CAR
LT COMERCIO DE PRODUTOS NACIONAIS E IMPORTADOS LTDA - LT IMPORTADOS,LT INPORT,CRBS S/A - CDC CACERES
LT COMERCIO DE PRODUTOS NACIONAIS E IMPORTADOS LTDA - LT IMPORTADOS,LT INPORT,BABY WORLD LTDA - GARMO
LT COMERCIO DE PRODUTOS NACIONAIS E IMPORTADOS LTDA - LT IMPORTADOS,LT INPORT,ANAS US INC - ANAS US
BALDAN AGRO LTDA - SITIO CAMBUY,BALDAN,MILI S/A - MILI
BALDAN AGRO LTDA - SITIO CAMBUY,BALDAN,CRBS S/A - CDC CACERES
BALDAN AGRO LTDA - SITIO CAMBUY,BALDAN,INSTITUTO NASCE - CASA AMPARO
CARMAIS BERN VEICULOS E PECAS LTDA - CARMAIS BERN VEICULOS E PECAS LTDA,CARMAIS BERN,BESIX - BESIX
CARMAIS BERN VEICULOS E PECAS LTDA - CARMAIS BERN VEICULOS E PECAS LTDA,CARMAIS BERN,TIM CAR LIMITADA - TIM CAR
CARMAIS BERN VEICULOS E PECAS LTDA - CARMAIS BERN VEICULOS E PECAS LTDA,CARMAIS BERN,RESIDENCIAL PHOENIX - PHOENIX
BANCO SANTANDER (BRASIL) S.A. - AGENCIA MOGI GUACU-CAPELA,SANTANDER AGENCIA,CRBS S/A - CDC CACERES
BANCO SANTANDER (BRASIL) S.A. - AGENCIA MOGI GUACU-CAPELA,SANTANDER AGENCIA,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - AGENCIA MOGI GUACU-CAPELA,SANTANDER AGENCIA,ANAS US INC - ANAS US
COTRIJUC - COOPERATIVA AGROPECUARIA JULIO DE CASTILHOS - COTRIJUC,COTRIJUC JULIO DE CASTIIOS,COTRIJUC - COOPERATIVA AGROPECUARIA JULIO DE CASTILHOS - COTRIJUC POSTO ACEGUA
COTRIJUC - COOPERATIVA AGROPECUARIA JULIO DE CASTILHOS - COTRIJUC,COTRIJUC JULIO DE CASTIIOS,NILTON DE MATOS BOTUCATU - M&C PLAST
COTRIJUC - COOPERATIVA AGROPECUARIA JULIO DE CASTILHOS - COTRIJUC,COTRIJUC JULIO DE CASTIIOS,GRAZZIOTIN S A - TOTTAL CASA & CONFORTO
ARQUIDIOCESE DE CAMPINAS - PAROQUIA SAO SEBASTIAO,PAROKIA SÃO,BISPADO DE RIO PRETO - PAROQUIA SAO SEBASTIAO
ARQUIDIOCESE DE CAMPINAS - PAROQUIA SAO SEBASTIAO,PAROKIA SÃO,BISPADO DE RIO PRETO - IGREJA DE SANTA APOLONIA
ARQUIDIOCESE DE CAMPINAS - PAROQUIA SAO SEBASTIAO,PAROKIA SÃO,BISPADO DE RIO PRETO - IGREJA SAO JOAO BATISTA
COMUNIDADE EVANGELICA DE PORTO ALEGRE - CASA DE PASSAGEM SAO LUCAS,CASA DE PASAJEM PORTO ALEGRE,A K GADELHA DOS SANTOS - CASA DA CARNE E MERCADINHO LUIGE
COMUNIDADE EVANGELICA DE PORTO ALEGRE - CASA DE PASSAGEM SAO LUCAS,CASA DE PASAJEM PORTO ALEGRE,F H DE LIMA - SOPARIA PONTO DE ESQUINA
COMUNIDADE EVANGELICA DE PORTO ALEGRE - CASA DE PASSAGEM SAO LUCAS,CASA DE PASAJEM PORTO ALEGRE,ARCOS DOURADOS COMERCIO DE ALIMENTOS SA - MCDONALDO
TELLERINA COMERCIO DE PRESENTES E ARTIGOS PARA DECORACAO S.A. - ETNA HOME STORE,TELLERINA,BESIX - BESIX
TELLERINA COMERCIO DE PRESENTES E ARTIGOS PARA DECORACAO S.A. - ETNA HOME STORE,TELLERINA,GRAZZIOTIN S A - POR MENOS
TELLERINA COMERCIO DE PRESENTES E ARTIGOS PARA DECORACAO S.A. - ETNA HOME STORE,TELLERINA,MILI S/A - MILI
MAIA ENGENHARIA & INCORPORADORA LTDA - MAIA ENGENHARIA,MAIA ENJENHARIA INC.,M D MOVEIS LTDA - MADESA
MAIA ENGENHARIA & INCORPORADORA LTDA - MAIA ENGENHARIA,MAIA ENJENHARIA INC.,A. ANGELONI & CIA. LTDA - ACAF
MAIA ENGENHARIA & INCORPORADORA LTDA - MAIA ENGENHARIA,MAIA ENJENHARIA INC.,BABY WORLD LTDA - GARMO
PARK MAIS ESTACIONAMENTOS LTDA - PARK MAIS,PARK ESTASIONAMENTO,GRAZZIOTIN S A - VIA RAQUELLE
PARK MAIS ESTACIONAMENTOS LTDA - PARK MAIS,PARK ESTASIONAMENTO,RESIDENCIAL PHOENIX - PHOENIX
PARK MAIS ESTACIONAMENTOS LTDA - PARK MAIS,PARK ESTASIONAMENTO,TIM CAR LIMITADA - TIM CAR
MITRA DIOCESANA DE JOINVILLE - PAROQUIA SANTA PAULINA,SANTA PAULINA JOINBILLE,INSTITUTO NASCE - CASA AMPARO
MITRA DIOCESANA DE JOINVILLE - PAROQUIA SANTA PAULINA,SANTA PAULINA JOINBILLE,MARCOS ANTONIO VESCOVI - MARCOS RELOJOEIRO
MITRA DIOCESANA DE JOINVILLE - PAROQUIA SANTA PAULINA,SANTA PAULINA JOINBILLE,COOPERATIVA TRITICOLA SANTA ROSA LTDA - COTRIROSA
RW BOLICHE LTDA - BOLICHE DO AVIAO,BOLIXE DO ABIÃO,BIZAO & BIZAO LTDA - CASA DO CAMPO
RW BOLICHE LTDA - BOLICHE DO AVIAO,BOLIXE DO ABIÃO,LEONE EQUIPAMENTOS AUTOMOTIVOS LTDA - LEONE
RW BOLICHE LTDA - BOLICHE DO AVIAO,BOLIXE DO ABIÃO,RADIO ELDORADO DO PARANA LTDA - RADIO MAIS
OFICIO DE REGISTRO CIVIL DA PESSOAS NATURAIS E DE INTERDICOES E TUTELAS DO MUNICIPIO E SEDE DA COMARCA DE ALAGOA NOVA - MAFALDA ARAUJO OFIC DE REG CIVIL DAS PESSOAS NATURAIS,OFISIO CIBIL MAFALDA,INDAIAL OFICIO DO REGISTRO CIVIL - CARTORIO LYDIA PABST
OFICIO DE REGISTRO CIVIL DA PESSOAS NATURAIS E DE INTERDICOES E TUTELAS DO MUNICIPIO E SEDE DA COMARCA DE ALAGOA NOVA - MAFALDA ARAUJO OFIC DE REG CIVIL DAS PESSOAS NATURAIS,OFISIO CIBIL MAFALDA,AMANTE DEL MARE SPE LTDA - AMANTE DEL MARE
OFICIO DE REGISTRO CIVIL DA PESSOAS NATURAIS E DE INTERDICOES E TUTELAS DO MUNICIPIO E SEDE DA COMARCA DE ALAGOA NOVA - MAFALDA ARAUJO OFIC DE REG CIVIL DAS PESSOAS NATURAIS,OFISIO CIBIL MAFALDA,GRAZZIOTIN S A - TOTTAL CASA & CONFORTO
ESSENCIALLOG TRANSPORTES E LOGISTICA LTDA - ESSENCIALLOG,ESSENCIAL L,RESIDENCIAL PHOENIX - PHOENIX
ESSENCIALLOG TRANSPORTES E LOGISTICA LTDA - ESSENCIALLOG,ESSENCIAL L,CRBS S/A - CDC CACERES
ESSENCIALLOG TRANSPORTES E LOGISTICA LTDA - ESSENCIALLOG,ESSENCIAL L,COMERCIAL PROTON LIMITADA - GERMANICA
DBL TRANSPORTES LTDA - BL TRANSPORTES,DBL TRASPORTE,EMS TRANSPORTES LTDA - EMS TRANSPORTES
DBL TRANSPORTES LTDA - BL TRANSPORTES,DBL TRASPORTE,IB ALIMENTOS LTDA - CPD IMPERADOR
DBL TRANSPORTES LTDA - BL TRANSPORTES,DBL TRASPORTE,UNETRAL SA - POSTO UNIAO
RIO LEITE LATICINIOS LTDA - LATICINIOS RIO LEITE,RIO LATISINIO,RESIDENCIAL PHOENIX - PHOENIX
RIO LEITE LATICINIOS LTDA - LATICINIOS RIO LEITE,RIO LATISINIO,G. J. LAZAROTO - AGRICOLA LAZAROTTO
RIO LEITE LATICINIOS LTDA - LATICINIOS RIO LEITE,RIO LATISINIO,BESIX - BESIX
RESERVA JDG EMPREENDIMENTO IMOBILIARIO SPE LTDA - RESERVA JDG EMPREENDIMENTO IMOBILIARIO SPE,JDG ENPREENDIMENTO,CEDLAB CENTRO DE DIAGNOSTICO LABORATORIAL LTDA - LABORATORIO ND
RESERVA JDG EMPREENDIMENTO IMOBILIARIO SPE LTDA - RESERVA JDG EMPREENDIMENTO IMOBILIARIO SPE,JDG ENPREENDIMENTO,NAT PARK EMPREENDIMENTO SPE LTDA - NAT PARK EMPREENDIMENTO
RESERVA JDG EMPREENDIMENTO IMOBILIARIO SPE LTDA - RESERVA JDG EMPREENDIMENTO IMOBILIARIO SPE,JDG ENPREENDIMENTO,BELLA VIEW EMPREENDIMENTOS SPE LTDA - BELLA VIEW EMPREENDIMENTOSS
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO UNIVALES - SICREDI UNIVALES MT/RO - UNIDADE DE ATENDIMENTO DE TABAPORA",TABAPORA,RESIDENCIAL PHOENIX - PHOENIX
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO UNIVALES - SICREDI UNIVALES MT/RO - UNIDADE DE ATENDIMENTO DE TABAPORA",TABAPORA,MILI S/A - MILI
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO UNIVALES - SICREDI UNIVALES MT/RO - UNIDADE DE ATENDIMENTO DE TABAPORA",TABAPORA,TIM CAR LIMITADA - TIM CAR
ASSOCIACAO AFROCULTURAL FILHOS DO REI - ILE ASE OJU OBA AYRA,AFROCULTURAL FIIOS,BLANC RESIDENCE - BLANC RESIDENCE
ASSOCIACAO AFROCULTURAL FILHOS DO REI - ILE ASE OJU OBA AYRA,AFROCULTURAL FIIOS,CRBS S/A - CDC CACERES
ASSOCIACAO AFROCULTURAL FILHOS DO REI - ILE ASE OJU OBA AYRA,AFROCULTURAL FIIOS,GRAZZIOTIN S A - POR MENOS
RESIDENCIAL BELARMINO I - RESIDENCIAL BELARMINO I,RESIDENCIAL B,RESIDENCIAL VICTORY - RESIDENCIAL VICTORY
RESIDENCIAL BELARMINO I - RESIDENCIAL BELARMINO I,RESIDENCIAL B,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
RESIDENCIAL BELARMINO I - RESIDENCIAL BELARMINO I,RESIDENCIAL B,EDIFICIO RESIDENCIAL ALPHA - RESIDENCIAL ALPHA
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - CIDADE OPERARIA,ASSOCIAÇÃO IGREJA,INSTITUTO NASCE - CASA AMPARO
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - CIDADE OPERARIA,ASSOCIAÇÃO IGREJA,RESIDENCIAL PHOENIX - PHOENIX
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - CIDADE OPERARIA,ASSOCIAÇÃO IGREJA,ASSOCIACAO BOM PASTOR - ASSOCIACAO BOM PASTOR
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - GRAVATAI,ASOSIACÃO BRASILEIRA IGREJA,CONGREGACAO CRISTA NO BRASIL - CONTENDA
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - GRAVATAI,ASOSIACÃO BRASILEIRA IGREJA,CONGREGACAO CRISTA NO BRASIL - VILA NUNES
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - GRAVATAI,ASOSIACÃO BRASILEIRA IGREJA,CONGREGACAO CRISTA NO BRASIL - CASA DE ORACAO CENTRAL
DIOCESE DE PIRACICABA - PAROQUIA SAO PEDRO E SAO PAULO,DIOCESE DE SAO PEDRO,BISPADO DE RIO PRETO - IGREJA DE SANTA CLARA
DIOCESE DE PIRACICABA - PAROQUIA SAO PEDRO E SAO PAULO,DIOCESE DE SAO PEDRO,MITRA DA DIOCESE DE NOVO HAMBURGO - PAROQUIA SAO JOSE
DIOCESE DE PIRACICABA - PAROQUIA SAO PEDRO E SAO PAULO,DIOCESE DE SAO PEDRO,DIOCESE DE FRANCA - PAROQUIA SAO SEBASTIAO
ENTSCHEV BRANCO SERVICOS DE ENGENHARIA E PROJETOS LTDA - ENTSCHEV BRANCO ENGENHARIA,ENTSXEB BRANCO,M J RAMOS BEZERRA LINS - NUTRISERVICE
ENTSCHEV BRANCO SERVICOS DE ENGENHARIA E PROJETOS LTDA - ENTSCHEV BRANCO ENGENHARIA,ENTSXEB BRANCO,CSB DROGARIAS S/A - DROGASMIL
ENTSCHEV BRANCO SERVICOS DE ENGENHARIA E PROJETOS LTDA - ENTSCHEV BRANCO ENGENHARIA,ENTSXEB BRANCO,R DE S LEITE REPRESENTACOES - ROBISNEIA REPRESENTACOES
RODOPAES ALIMENTOS LTDA - NEMA PRAIA DO CANTO,NEMA CANTO DO PRAIA,UNETRAL SA - POSTO UNIAO
RODOPAES ALIMENTOS LTDA - NEMA PRAIA DO CANTO,NEMA CANTO DO PRAIA,BAR E RESTAURANTE DA MARQUES LTDA - BAR MARQUES
RODOPAES ALIMENTOS LTDA - NEMA PRAIA DO CANTO,NEMA CANTO DO PRAIA,FLORA RIO COMERCIO DE MODA PRAIA LTDA - FLORA RIO BIQUINIS
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ED COM ALPHA SQUARE",ED ALPHA,MILI S/A - MILI
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ED COM ALPHA SQUARE",ED ALPHA,TIM CAR LIMITADA - TIM CAR
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ED COM ALPHA SQUARE",ED ALPHA,IB ALIMENTOS LTDA - CPD IMPERADOR
CENTRO DO PROFESSORADO PAULISTA - CPP,CENTRO DO CPP,CENTRO DO PROFESSORADO PAULISTA - CENTRAL DE CURSOS DO CPP
CENTRO DO PROFESSORADO PAULISTA - CPP,CENTRO DO CPP,CENTRO DO PROFESSORADO PAULISTA - SUB SEDE SUL DO CPP
CENTRO DO PROFESSORADO PAULISTA - CPP,CENTRO DO CPP,SOCIEDADE PORVIR CIENTIFICO - ESCOLA FUNDAMENTAL LA SALLE ESMERALDA
BANCO SANTANDER (BRASIL) S.A. - BANCO DIRETO SPAULO SP,SANTANDER BRASIL S.A.,BANCO SANTANDER (BRASIL) S.A. - CORPORATE RECIFE
BANCO SANTANDER (BRASIL) S.A. - BANCO DIRETO SPAULO SP,SANTANDER BRASIL S.A.,BANCO SANTANDER (BRASIL) S.A. - RIO BRANCO 70
BANCO SANTANDER (BRASIL) S.A. - BANCO DIRETO SPAULO SP,SANTANDER BRASIL S.A.,BANCO SANTANDER (BRASIL) S.A. - CASA 03
SAPORE S.A. - CR 4488,CR 44888,SAPORE S.A. - CR 4688
SAPORE S.A. - CR 4488,CR 44888,SAPORE S.A. - CR 4478
SAPORE S.A. - CR 4488,CR 44888,SAPORE S.A. - CR 4448
DIAGNOSTICOS DA AMERICA S.A . - BIO-CIENCIA LAVOISIER ANALISES CLINICAS S.A8514,BIO LAVOISIER,MILI S/A - MILI
DIAGNOSTICOS DA AMERICA S.A . - BIO-CIENCIA LAVOISIER ANALISES CLINICAS S.A8514,BIO LAVOISIER,INSTITUTO NASCE - CASA AMPARO
DIAGNOSTICOS DA AMERICA S.A . - BIO-CIENCIA LAVOISIER ANALISES CLINICAS S.A8514,BIO LAVOISIER,DIAGNOSTICOS DA AMERICA S.A . - LAVOISIER
NOTRE DAME INTERMEDICA SAUDE S.A. - SAMHO-INTERMEDICA ( ADM. II ),NOTRE DAME,MILI S/A - MILI
NOTRE DAME INTERMEDICA SAUDE S.A. - SAMHO-INTERMEDICA ( ADM. II ),NOTRE DAME,SAPORE S.A. - CR 1017
NOTRE DAME INTERMEDICA SAUDE S.A. - SAMHO-INTERMEDICA ( ADM. II ),NOTRE DAME,BESIX - BESIX
HOOLLYMAN DEVELOPMENT AND REAL ESTATE ADIVISORY SERVICES LTD - HOOLLYMAN,HOLY MAN DEBELOPMENT,BABY WORLD LTDA - GARMO
HOOLLYMAN DEVELOPMENT AND REAL ESTATE ADIVISORY SERVICES LTD - HOOLLYMAN,HOLY MAN DEBELOPMENT,CRBS S/A - CDR FULLFILMENT RJ
HOOLLYMAN DEVELOPMENT AND REAL ESTATE ADIVISORY SERVICES LTD - HOOLLYMAN,HOLY MAN DEBELOPMENT,GRAZZIOTIN S A - POR MENOS
IACOPO SABBATINI & FILHO LTDA - MERCADINHO BRASIL,MERCADINHO B,A K GADELHA DOS SANTOS - CASA DA CARNE E MERCADINHO LUIGE
IACOPO SABBATINI & FILHO LTDA - MERCADINHO BRASIL,MERCADINHO B,G. B. S. MEDRADO - MUNDIAL CALHAS
IACOPO SABBATINI & FILHO LTDA - MERCADINHO BRASIL,MERCADINHO B,ASSOCIACAO GREMIO RECREATIVO EXPLODE CORACAO - GREC
RIO BRANCO DERIVADOS DE PETROLEO LTDA - RIO BRANCO DERIVADOS DE PETROLEO,RIO BRANCO D PETROLEO LTDA,ALIAN M DOS SANTOS LTDA - COMERCIAL AMAZ
RIO BRANCO DERIVADOS DE PETROLEO LTDA - RIO BRANCO DERIVADOS DE PETROLEO,RIO BRANCO D PETROLEO LTDA,SILVA & MEM LTDA - ELETROMOVEIS
RIO BRANCO DERIVADOS DE PETROLEO LTDA - RIO BRANCO DERIVADOS DE PETROLEO,RIO BRANCO D PETROLEO LTDA,RA ALMEIDA ENGENHARIA LTDA - RA GROUP
